,Date,State,City,Summary,code,Direction,Time,Authority Advised,Route,Location,Altitude
15,2024-01-02,COLORADO,COLORADO SPRINGS,"PRELIM INFO FROM FAA OPS: COLORADO SPRINGS, CO/UAS SIGHTING/1217M/COLORADO SPRINGS ATCT ADVISED, EXPERIMENTAL VAN'S RV7, REPORTED A SMALL UAS WHILE ON EASTERN SIDE OF COLORADO SPRINGS ARPT. NO EVASIVE ACTION REPORTED. EL PASO COUNTY SHERIFF NOTIFIED.",,,1217M,COLORADO SPRINGS ATCT,,,
23,2024-01-05,NEW JERSEY,ROBBINSVILLE,"PRELIM INFO FROM FAA OPS: ROBBINSVILLE, NJ/UAS SIGHTING/1522E/ATLANTIC CITY ATCT ADVISED, CESSNA C172, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE SE BOUND AT 3,000 FEET 5 S ROBBINSVILLE VORTAC (RBV). NO EVASIVE ACTION TAKEN. JACKSON TWSP PD NOTIFIED.",,SE BOUND,1522E,ATLANTIC CITY ATCT,,,"AT 3,000 FEET"
126,2024-02-14,FLORIDA,MILTON,"PRELIM INFO FROM FAA OPS: MILTON, FL/UAS SIGHTING/1230C/PENSACOLA TRACON ADVISED, HELO, REPORTED A UAS WHILE N BOUND AT 1,000 FEET VCNTY MILTON, FL. NO EVASIVE ACTION TAKEN. SANTA ROSA COUNTY SHERIFF NOTIFIED.",,N BOUND,1230C,PENSACOLA TRACON,,,"AT 1,000 FEET"
140,2024-02-16,TEXAS,BEAUMONT/PORT ARTHUR,"PRELIM INFO FROM FAA OPS: BEAUMONT/PORT ARTHUR, TX/UAS SIGHTING/1328C/HOUSTON TRACON ADVISED, CESNNA C182, REPORTED A WHITE UAS AT 2,800 FEET WHILE WHILE W BOUND AT SAME ALTITUDE. NO EVASIVE ACTION REPORTED. HOUSTON FBI OFFICE NOTIFIED.",,W BOUND,1328C,HOUSTON TRACON,,,"AT 2,800 FEET"
166,2024-02-21,FLORIDA,SARASOTA,"PRELIM INFO FROM FAA OPS: SARASOTA, FL/UAS SIGHTING/1458E/MIAMI ARTCC ADVISED, BEECH BE20, REPORTED ROTORY CRAFT UAS WHILE E BOUND AT 1,000 FEET VCNTY SARASOTA. NO EVASIVE ACTION REPORTED. NO LEOS NOTIFIED.",,E BOUND,1458E,MIAMI ARTCC,,,"AT 1,000 FEET"
172,2024-02-23,CALIFORNIA,POMONA,"PRELIM INFO FROM FAA OPS: POMONA, CA/UAS SIGHTING/2052E/SOUTHERN CALIFORNIA TRACON ADVISED, CIRRUS S22T, REPORTED A UAS FROM THE 11 O'CLOCK POSITION WHILE W BOUND AT 3,500 FEET 5 W POMONA VORTAC (POM). NO EVASIVE ACTION TAKEN. PONOMA PD NOTIFIED.",,W BOUND,2052E,SOUTHERN CALIFORNIA TRACON,,,"AT 3,500 FEET"
181,2024-02-24,TEXAS,GALVESTON,"PRELIM INFO FROM FAA OPS: GALVESTON, TX/UAS SIGHTING/1708C/HOUSTON TRACON ADVISED, DIAMOND DA40, REPORTED UAS AT THE 2 O'CLOCK POSITION WHILE SE BOUND AT 3,000 FEET 8 N SCHOLES VOR (VUH). NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION PROVIDED.",,SE BOUND,1708C,HOUSTON TRACON,,,"AT 3,000 FEET"
268,2024-03-18,NEW YORK,DEER PARK,"PRELIM INFO FROM FAA OPS: DEER PARK, NY/UAS SIGHTING/1635E/REPUBLIC ATCT ADVISED, CESSNA C172, REPORTED DISC SHAPED UAS AT THE 9 O'CLOCK POSITION WHILE NW BOUND AT 400 FEET 5 SW DEER PARK VOR (DPK). NO EVASIVE ACTION TAKEN.  SUFFOLK COUNTY PD NOTIFIED.",,NW BOUND,1635E,REPUBLIC ATCT,,,AT 400 FEET
